,item,item_name,era,style,gender,season,tpo,fit,brightness,temperature,weight,nice_nice,nice_no,urban_no,urban_urban,trendy_no,trendy_trendy,sophisticated_no,sophisticated_sophisticated,clean_clean,clean_no,magnificent_magnificent,magnificent_no,unique_no,unique_unique,easy_easy,easy_no,open_no,open_open mined,practical_no,practical_practical,activity_activity,activity_no,comfortable_comfortable,comfortable_no,bubbly_bubbly,bubbly_no,feminine_feminine,feminine_no,manly_manly,manly_no,soft_no,soft_soft
2522,2522,W_03117_19_lounge_W.jpg,2019,lounge,W,summer,daily,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0
2523,2523,W_03118_50_feminine_W.jpg,1950,feminine,W,summer,social gathering,appropriate tight,bright dark,cold,light,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
2524,2524,W_03119_70_hippie_W.jpg,1970,hippie,W,summer,social trip vacation,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2525,2525,W_03120_50_feminine_W.jpg,1950,feminine,W,summer winter,social gathering social trip vacation,tight,bright,warm,light,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2526,2526,W_03121_19_normcore_W.jpg,2019,normcore,W,spring fall summer,daily date,loose,bright,warm,light,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0
2527,2527,W_03122_50_feminine_W.jpg,1950,feminine,W,summer,event,tight,dark,cold,heavy,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2528,2528,W_03123_90_kitsch_W.jpg,1990,kitsch,W,summer,date social trip vacation,appropriate loose,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0
2529,2529,W_03124_50_feminine_W.jpg,1950,feminine,W,spring fall summer,social gathering,appropriate tight,bright,warm,heavy light,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1
2530,2530,W_03125_80_bodyconscious_W.jpg,1980,bodyconscious,W,spring fall,date event,tight,dark,cold warm,heavy light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2531,2531,W_03126_19_lounge_W.jpg,2019,lounge,W,summer,daily event,appropriate loose,bright,cold warm,light,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0
2532,2532,W_03127_60_popart_W.jpg,1960,popart,W,spring fall winter,daily social gathering,appropriate,bright,cold warm,heavy light,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0
2533,2533,W_03128_50_feminine_W.jpg,1950,feminine,W,summer,social gathering,appropriate,bright,warm,light,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
2534,2534,W_03129_19_normcore_W.jpg,2019,normcore,W,spring fall,daily,loose,bright dark,warm,heavy light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0
2535,2535,W_03131_50_feminine_W.jpg,1950,feminine,W,summer,daily,appropriate,dark,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2536,2536,W_03132_70_hippie_W.jpg,1970,hippie,W,summer,social trip vacation,appropriate,bright,cold,light,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0
2537,2537,W_03134_80_bodyconscious_W.jpg,1980,bodyconscious,W,spring fall summer,social gathering social trip vacation,tight,bright,cold warm,light,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
2538,2538,W_03135_00_oriental_W.jpg,2000,oriental,W,spring fall,date,loose,dark,warm,heavy,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
2539,2539,W_03137_90_kitsch_W.jpg,1990,kitsch,W,summer,date,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0
2540,2540,W_03138_90_lingerie_W.jpg,1990,lingerie,W,summer,social gathering,appropriate,dark,cold,light,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2541,2541,W_03139_00_ecology_W.jpg,2000,ecology,W,summer,social trip vacation,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0
2542,2542,W_03140_50_feminine_W.jpg,1950,feminine,W,summer,date,appropriate tight,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0
2543,2543,W_03142_50_feminine_W.jpg,1950,feminine,W,summer,social gathering,loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2544,2544,W_03143_50_feminine_W.jpg,1950,feminine,W,spring fall,attendance,appropriate,dark,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2545,2545,W_03144_50_classic_W.jpg,1950,classic,W,summer,daily,appropriate,dark,cold,heavy,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
2546,2546,W_03145_50_feminine_W.jpg,1950,feminine,W,spring fall,daily,loose,bright,warm,heavy,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2547,2547,W_03146_19_lounge_W.jpg,2019,lounge,W,summer,date social trip vacation,appropriate,bright,cold warm,light,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0
2548,2548,W_03147_70_hippie_W.jpg,1970,hippie,W,spring fall summer,daily date,appropriate loose,bright,cold warm,heavy light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2549,2549,W_03148_80_bodyconscious_W.jpg,1980,bodyconscious,W,spring fall summer,leisure sports social gathering,tight,dark,cold,heavy light,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0
2550,2550,W_03149_90_kitsch_W.jpg,1990,kitsch,W,summer,date,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1
2551,2551,W_03150_10_athleisure_W.jpg,2010,athleisure,W,summer,leisure sports,appropriate tight,bright,cold warm,light,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2552,2552,W_03151_80_bodyconscious_W.jpg,1980,bodyconscious,W,summer,date social gathering,tight,bright,cold warm,light,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
2553,2553,W_03152_50_feminine_W.jpg,1950,feminine,W,spring fall summer,daily event,appropriate,bright,warm,light,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
2554,2554,W_03153_50_feminine_W.jpg,1950,feminine,W,spring fall,social gathering,tight,bright,warm,light,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2555,2555,W_03154_50_feminine_W.jpg,1950,feminine,W,spring fall summer,date social gathering,appropriate loose,bright,cold warm,light,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1
2556,2556,W_03155_00_ecology_W.jpg,2000,ecology,W,spring fall summer,daily date social gathering,appropriate loose,bright,warm,heavy light,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
2557,2557,W_03156_60_space_W.jpg,1960,space,W,spring fall,daily etc event social trip vacation,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
2558,2558,W_03159_50_feminine_W.jpg,1950,feminine,W,spring fall summer,date,appropriate,bright,cold warm,light,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
2559,2559,W_03160_60_minimal_W.jpg,1960,minimal,W,summer,daily social gathering,appropriate tight,bright dark,cold warm,heavy light,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
2560,2560,W_03161_50_feminine_W.jpg,1950,feminine,W,summer,date event,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0
2561,2561,W_03162_50_feminine_W.jpg,1950,feminine,W,summer,date social trip vacation,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
2562,2562,W_03164_90_lingerie_W.jpg,1990,lingerie,W,summer,date,appropriate,dark,cold,light,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
2563,2563,W_03166_70_hippie_W.jpg,1970,hippie,W,spring fall,event social gathering,loose tight,bright,warm,heavy,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2564,2564,W_03167_50_feminine_W.jpg,1950,feminine,W,spring fall,social gathering,appropriate,bright,cold,heavy,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2565,2565,W_03168_70_hippie_W.jpg,1970,hippie,W,summer,daily date,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1
2566,2566,W_03170_00_ecology_W.jpg,2000,ecology,W,spring fall summer,daily social gathering social trip vacation,appropriate loose,bright dark,warm,light,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0
2567,2567,W_03171_50_feminine_W.jpg,1950,feminine,W,summer,date,appropriate,bright,warm,light,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0
2568,2568,W_03172_90_grunge_W.jpg,1990,grunge,W,spring fall summer,daily social gathering,appropriate tight,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0
2569,2569,W_03173_70_hippie_W.jpg,1970,hippie,W,spring fall,etc social gathering,appropriate,bright,warm,heavy light,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0
2570,2570,W_03174_50_feminine_W.jpg,1950,feminine,W,summer,social gathering,loose,bright,warm,light,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2571,2571,W_03176_50_classic_W.jpg,1950,classic,W,spring fall summer,attendance daily date,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0
2572,2572,W_03177_60_minimal_W.jpg,1960,minimal,W,spring fall winter,daily etc event social gathering,appropriate loose tight,dark,cold warm,heavy light,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0
2573,2573,W_03178_50_classic_W.jpg,1950,classic,W,spring fall,attendance,appropriate,bright,warm,heavy,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2574,2574,W_03179_60_minimal_W.jpg,1960,minimal,W,spring fall summer,daily event social gathering,appropriate tight,bright,cold warm,light,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1
2575,2575,W_03180_50_classic_W.jpg,1950,classic,W,winter,etc,loose,bright,cold,heavy,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2576,2576,W_03181_70_hippie_W.jpg,1970,hippie,W,summer,date,tight,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
2577,2577,W_03182_50_feminine_W.jpg,1950,feminine,W,summer,date,appropriate tight,dark,cold warm,heavy light,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0
2578,2578,W_03183_70_hippie_W.jpg,1970,hippie,W,summer,daily social gathering,loose tight,bright,cold warm,light,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
2579,2579,W_03184_50_classic_W.jpg,1950,classic,W,spring fall winter,attendance event social gathering,appropriate loose tight,bright dark,cold warm,heavy light,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1
2580,2580,W_03185_50_feminine_W.jpg,1950,feminine,W,summer,social gathering social trip vacation,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1
2581,2581,W_03186_19_normcore_W.jpg,2019,normcore,W,spring fall,attendance,appropriate,bright dark,warm,heavy light,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
2582,2582,W_03187_00_ecology_W.jpg,2000,ecology,W,summer,social trip vacation,appropriate,dark,cold,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
2583,2583,W_03188_50_feminine_W.jpg,1950,feminine,W,summer,daily,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
2584,2584,W_03191_50_feminine_W.jpg,1950,feminine,W,summer,social gathering,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
2585,2585,W_03192_90_lingerie_W.jpg,1990,lingerie,W,summer,date,appropriate,bright dark,cold warm,light,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1
2586,2586,W_03193_70_disco_W.jpg,1970,disco,W,summer,date social gathering,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0
2587,2587,W_03194_50_classic_W.jpg,1950,classic,W,spring fall,event social gathering,tight,bright,cold warm,light,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0
2588,2588,W_03196_50_classic_W.jpg,1950,classic,W,spring fall winter,event,appropriate tight,bright,warm,heavy light,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
2589,2589,W_03198_19_lounge_W.jpg,2019,lounge,W,summer,social gathering social trip vacation,tight,bright,warm,light,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2590,2590,W_03199_50_feminine_W.jpg,1950,feminine,W,winter,event,appropriate,bright,warm,light,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2591,2591,W_03200_19_genderless_W.jpg,2019,genderless,W,spring fall,attendance event,appropriate,bright,cold warm,light,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0
2592,2592,W_03201_50_feminine_W.jpg,1950,feminine,W,winter,social gathering,appropriate tight,dark,warm,heavy,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2593,2593,W_03202_60_minimal_W.jpg,1960,minimal,W,summer,daily social trip vacation,appropriate loose,bright,cold warm,light,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
2594,2594,W_03204_19_lounge_W.jpg,2019,lounge,W,summer,date social gathering,appropriate tight,bright dark,cold warm,light,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
2595,2595,W_03206_00_ecology_W.jpg,2000,ecology,W,spring fall,event,appropriate,bright,warm,light,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
2596,2596,W_03207_60_space_W.jpg,1960,space,W,summer,social gathering social trip vacation,appropriate loose,bright,cold warm,light,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0
2597,2597,W_03208_60_minimal_W.jpg,1960,minimal,W,summer,daily date,appropriate loose,dark,cold warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0
2598,2598,W_03209_50_feminine_W.jpg,1950,feminine,W,spring fall,date,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0
2599,2599,W_03210_70_hippie_W.jpg,1970,hippie,W,summer,daily,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
2600,2600,W_03211_50_feminine_W.jpg,1950,feminine,W,spring fall summer,social trip vacation,loose,bright,cold,light,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0
2601,2601,W_03212_50_ivy_M.jpg,1950,ivy,M,winter,social trip vacation,appropriate,dark,warm,heavy,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
2602,2602,W_03213_90_kitsch_W.jpg,1990,kitsch,W,spring fall,daily,tight,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0
2603,2603,W_03215_00_ecology_W.jpg,2000,ecology,W,spring fall,etc social gathering,appropriate loose,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1
2604,2604,W_03216_70_disco_W.jpg,1970,disco,W,summer,event social gathering,appropriate tight,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2605,2605,W_03217_50_feminine_W.jpg,1950,feminine,W,summer,date,loose,bright,warm,light,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2606,2606,W_03218_70_hippie_W.jpg,1970,hippie,W,spring fall,leisure sports,loose,dark,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0
2607,2607,W_03220_19_lounge_W.jpg,2019,lounge,W,spring fall,daily social trip vacation,appropriate loose,dark,warm,heavy light,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0
2608,2608,W_03221_50_feminine_W.jpg,1950,feminine,W,spring fall,daily,appropriate,bright,warm,light,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
2609,2609,W_03223_19_lounge_W.jpg,2019,lounge,W,spring fall,attendance date,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0
2610,2610,W_03224_50_feminine_W.jpg,1950,feminine,W,spring fall summer,event social gathering social trip vacation,appropriate,bright,warm,light,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0
2611,2611,W_03225_50_feminine_W.jpg,1950,feminine,W,summer,daily social trip vacation,appropriate,bright,cold,light,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1
2612,2612,W_03226_50_feminine_W.jpg,1950,feminine,W,summer,date,appropriate,bright,warm,light,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1
2613,2613,W_03227_70_hippie_W.jpg,1970,hippie,W,summer,daily social trip vacation,appropriate,bright,warm,light,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0
2614,2614,W_03228_50_feminine_W.jpg,1950,feminine,W,spring fall,social gathering,tight,dark,cold,heavy,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2615,2615,W_03229_50_feminine_W.jpg,1950,feminine,W,summer,date,appropriate,bright,cold,light,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
2616,2616,W_03230_50_feminine_W.jpg,1950,feminine,W,summer,date social trip vacation,tight,bright,warm,light,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0
2617,2617,W_03231_00_ecology_W.jpg,2000,ecology,W,summer,date,appropriate,bright,cold,light,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2618,2618,W_03233_50_feminine_W.jpg,1950,feminine,W,summer,social trip vacation,appropriate,bright,warm,light,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0
2619,2619,W_03234_00_ecology_W.jpg,2000,ecology,W,spring fall summer,attendance date,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0
2620,2620,W_03236_19_lounge_W.jpg,2019,lounge,W,summer,social gathering,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
2621,2621,W_03237_19_normcore_W.jpg,2019,normcore,W,spring fall,daily date,appropriate,bright,cold warm,light,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1
2622,2622,W_03238_90_kitsch_W.jpg,1990,kitsch,W,spring fall,daily date,loose,bright,cold warm,light,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2623,2623,W_03239_19_lounge_W.jpg,2019,lounge,W,spring fall,date social gathering,appropriate loose,bright dark,cold warm,heavy light,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0
2624,2624,W_03240_19_lounge_W.jpg,2019,lounge,W,spring fall,daily date,loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
2625,2625,W_03241_90_lingerie_W.jpg,1990,lingerie,W,summer,social trip vacation,loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
2626,2626,W_03242_50_feminine_W.jpg,1950,feminine,W,summer,social gathering,appropriate,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
2627,2627,W_03243_50_classic_W.jpg,1950,classic,W,spring fall,attendance,appropriate,bright,warm,light,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
2628,2628,W_03244_70_hippie_W.jpg,1970,hippie,W,summer,date,tight,dark,cold,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0
2629,2629,W_03246_00_oriental_W.jpg,2000,oriental,W,summer,daily social trip vacation,appropriate tight,bright dark,cold warm,light,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0
2630,2630,W_03247_00_ecology_W.jpg,2000,ecology,W,summer,date event,appropriate,bright,cold warm,light,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1
2631,2631,W_03248_50_feminine_W.jpg,1950,feminine,W,summer,date,loose,bright,warm,light,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
2632,2632,W_03249_00_ecology_W.jpg,2000,ecology,W,summer,date social trip vacation,loose,bright,warm,light,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1
2633,2633,W_03251_90_lingerie_W.jpg,1990,lingerie,W,summer,event social gathering,tight,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0
2634,2634,W_03252_70_hippie_W.jpg,1970,hippie,W,summer,daily,appropriate,dark,warm,light,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0
2635,2635,W_03253_60_minimal_W.jpg,1960,minimal,W,summer,daily date,appropriate,bright,cold warm,light,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1
